isolate.id,guuid,short.read.accession,long.read.accession,genome.assembly.accession
OXEC-32,c8756f51-b13d-4201-b3e4-b7aa08112101,SRR25738479,SRR30896350,CP163710-CP163711
OXEC-320,a98ee833-aba5-49ef-b247-7585585495f5,SRR13992004,SRR30896540,CP164846-CP164848
OXEC-321,e1d2aec7-eb12-4798-88fe-186c289d1c46,SRR13991589,SRR30896538,NA
OXEC-322,d3719a25-de46-4a84-9b54-834823687b8b,SRR13992165,SRR30896537,CP164843-CP164845
OXEC-323,9f6e48c1-cb9e-41a1-8d21-1724c4ebfd3e,SRR13993765,SRR30896536,NA
OXEC-324,304334fd-505c-4c17-8a4c-f9a72f756b4b,SRR13992586,SRR30896535,CP164841-CP164842
OXEC-325,7e066b76-50d7-4bfe-8ea2-f34f9c56b151,SRR13992345,SRR30896534,NA
OXEC-326,7fca96aa-7a29-43b5-b1b3-26b83ead940f,SRR13991705,SRR30896533,NA
OXEC-327,c164cbdc-67f3-43dc-96c3-b6f2aacedb54,SRR13993507,SRR30896532,NA
OXEC-328,3378378c-c8b3-4339-ad5a-4d75f8a2aa5e,SRR13992516,SRR30896531,CP164829-CP164840
OXEC-329,3e7e0845-fe8a-4314-8ab0-42cf3d96c283,SRR13992543,SRR30896530,CP164826-CP164828
OXEC-33,a00aa380-43ef-4f6d-83e1-f245b46876a0,SRR25740798,SRR30896539,CP165581-CP165582
OXEC-330,57788c51-89cc-4e81-8b5b-c3ada388bfcc,SRR13993758,SRR30896529,CP164823-CP164825
OXEC-331,ae505be8-4ea9-401d-a908-e15d82043fec,SRR13992961,SRR30896527,CP164819-CP164822
OXEC-332,c2c82a7f-dda6-452b-908e-2ca3854bdedb,SRR13991802,SRR30896526,CP164815-CP164818
OXEC-333,c4e0cd51-ac0e-486f-9dd5-a14e04ef6a6d,SRR13991782,SRR30896525,CP164810-CP164814
OXEC-334,bea4fd14-e10f-44c9-b4f9-35b97ad91608,SRR13993398,SRR30896524,CP164808-CP164809
OXEC-335,4a78ec3b-4f83-49a1-9569-0a111c20fad3,SRR13993015,SRR30896523,CP165491-CP165496
OXEC-336,f0ac8beb-8c4b-4d6e-969c-f8df1419f898,SRR13993772,SRR30896522,CP164806-CP164807
OXEC-337,fd628cf8-ced6-473c-ac72-dbfaa0831711,SRR13992244,SRR30896521,NA
OXEC-338,e90cf998-df99-4a6f-87a6-5f72fdaf6424,SRR13992590,SRR30896520,NA
OXEC-339,6ec64691-9754-4a88-8a1a-95fa4cdfc2d8,SRR13991563,SRR30896519,CP164800-CP164805
OXEC-34,01ebf48a-dfae-4f34-8601-414bdd9d64d4,SRR13992079,SRR30896528,CP163700-CP163709
OXEC-340,77f03c56-16b6-42ae-934a-ba9c909cd7b4,SRR13993391,SRR30896518,CP164799
OXEC-341,fff721ac-bd2e-476e-8e20-11587e2280ab,SRR13992970,SRR30896516,CP164795-CP164798
OXEC-342,e5e4bb7b-32c9-4f9d-ada2-e31c5812a2f3,SRR13992601,SRR30896515,CP164793-CP164794
OXEC-343,731d94ca-2355-480e-9131-bf40e00a4ede,SRR13992582,SRR30896514,CP164789-CP164792
OXEC-344,fe1ec099-66de-4e5e-98de-bb98f8f03b48,SRR13992241,SRR30896513,CP164786-CP164788
OXEC-345,c595cee0-a310-4c30-a6cb-caf0f8ceb3e8,SRR13993378,SRR30896512,CP164778-CP164785
OXEC-346,5db2d789-a371-4091-8882-599978a05c51,SRR13993358,SRR30896511,NA
OXEC-347,e01350cb-bf1b-4333-9f51-b2822bdfd728,SRR13992258,SRR30896510,CP164776-CP164777
OXEC-348,6c9f2942-2e33-4ba2-8bb4-f0af2d7bfaef,SRR13992779,SRR30896509,NA
OXEC-349,f8a9ed52-c209-4e36-9fff-d9b23dacdd43,SRR13992316,SRR30896508,NA
OXEC-35,6a8a5982-af87-4363-beaa-f4184460f54d,SRR25738234,SRR30896517,CP163698-CP163699
OXEC-350,30d2a4f5-7ba8-475b-8010-1dec21a88074,SRR13993641,SRR30896507,NA
OXEC-351,98b10f47-a670-46e9-a5a6-d670a61cae53,SRR13993784,SRR30896145,CP164773-CP164775
OXEC-352,00decd65-8e22-4c8b-94ae-6d5791fa6310,SRR13992145,SRR30896144,NA
OXEC-353,e3fe0491-e5be-4d77-bb7b-5d008eb80812,SRR13993233,SRR30896143,CP164765-CP164772
OXEC-354,9d49f09f-b95c-4c02-8bbf-380eff9d31e5,SRR13993818,SRR30896142,NA
OXEC-355,59920eb6-9b16-4f3f-955a-74a077710389,SRR13992119,SRR30896141,CP164763-CP164764
OXEC-356,58ef278c-eddb-4265-b724-51afe56ad2a6,SRR13992126,SRR30896140,NA
OXEC-357,9808de35-d503-4d6c-b01f-800898cfdbb6,SRR13993142,SRR30896139,CP164760-CP164762
OXEC-358,be109820-50ca-4620-acc4-118487626873,SRR13993529,SRR30896138,CP164749-CP164759
OXEC-359,a5e25c10-c42f-418f-9ba0-2aa3d44bee18,SRR25740837,SRR30896137,NA
OXEC-36,afeebe10-5712-4406-ae68-880af081fa78,SRR25740892,SRR30896506,NA
OXEC-360,12cf0731-f4b8-4d9a-9bfe-40bb9a3eceea,SRR13993027,SRR30896136,NA
OXEC-361,438ac48c-fee4-45e9-8b02-985fa5cc2618,SRR13991984,SRR30896134,NA
OXEC-362,949ac986-c2e5-4617-b5a6-315fe9657ba6,SRR13992170,SRR30896133,CP164744-CP164748
OXEC-363,f6ca950e-bdb3-4664-b81e-a657730cd7f5,SRR13992324,SRR30896132,CP164734-CP164743
OXEC-364,7f5b2b0a-c330-48d8-9632-e7bec2c07752,SRR13992305,SRR30896131,NA
OXEC-365,d88f3323-8a15-4e0f-b05c-376392cce572,SRR25740921,SRR30896130,CP164729-CP164733
OXEC-366,1bc8ab59-3f2b-470f-84ac-c50fa1682136,SRR13993861,SRR30896129,CP164727-CP164728
OXEC-367,30071b6c-8afb-42d5-ae09-e61b37b9e2b8,SRR13992645,SRR30896128,NA
OXEC-368,a09e0d51-491e-4468-ac36-fa3b676fde19,SRR13993610,SRR30896127,NA
OXEC-369,6ca9cba4-f9b6-45a1-84b2-1a29c4e3e352,SRR13992750,SRR30896126,NA
OXEC-37,52ee330f-d68b-4327-8880-fc0e1f48fe2f,SRR25738215,SRR30896135,CP163693-CP163697
OXEC-370,c28e132c-d464-45a7-a3ad-b00db3761af5,SRR25738256,SRR30896125,CP164724-CP164726
OXEC-371,7e2170f0-1a3d-4274-852f-4b0f23c4e1b8,SRR13991784,SRR30896123,CP164717-CP164723
OXEC-372,e3df3f6c-55f4-45a8-88a3-551bf9f0dde3,SRR13993236,SRR30896122,NA
OXEC-373,5549ffb3-3ce6-4289-9528-62cef2b770b7,SRR13993631,SRR30896121,CP164715-CP164716
OXEC-374,5b96cae8-8b1d-4756-9ff5-d142b2aab6dc,SRR13993434,SRR30896120,CP165487-CP165490
OXEC-375,986704bf-1bfc-4055-863a-0255854490d1,SRR13993076,SRR30896119,CP164713-CP164714
OXEC-376,4c615f04-991b-484b-9820-27b0cdd68170,SRR13993000,SRR30896118,NA
OXEC-377,61b77c37-eb26-4476-9ee4-02eaf75236ea,SRR13992989,SRR30896117,NA
OXEC-378,4dfe6509-9c0a-4fd9-b43c-3fb32af2bbd3,SRR13992899,SRR30896116,NA
OXEC-379,fd3e16de-57e2-496b-81c3-d8a91b5219df,SRR13991907,SRR30896115,NA
OXEC-38,52a477c2-3b70-4952-8e1a-8d1f0f3f7dd8,SRR25740893,SRR30896124,CP163692
OXEC-380,cbd163ff-5050-4324-a1aa-bc6e114c98af,SRR13993300,SRR30896114,CP164709-CP164712
OXEC-381,345f7a9b-0303-49ce-9dd7-6ce33b868f8b,SRR13992447,SRR30896112,CP165483-CP165486
OXEC-382,aa8a5154-6e59-4c86-8bf1-381b7ebe6d40,SRR11046280,SRR30896111,CP164706-CP164708
OXEC-383,c76fc701-1f30-47a0-9522-830e4c0322f8,SRR13993372,SRR30896110,NA
OXEC-384,5ea1e8e4-ad0c-4a84-ab1c-58dd0b91f197,SRR13993354,SRR30896109,NA
OXEC-385,3d256025-a3ac-4500-bf12-b4fde47040d7,SRR13992627,SRR30896108,CP164702-CP164705
OXEC-386,bd95873d-728f-419a-9b15-73684adb92a5,SRR11046277,SRR30896107,CP164700-CP164701
OXEC-387,51b375a6-db5f-4dd3-9b61-947ef735d3bd,SRR13992807,SRR30896106,CP165476-CP165482
OXEC-388,1b06ceb4-031f-44da-927b-20e31889abbe,SRR13993864,SRR30896505,CP164697-CP164699
OXEC-389,9340217b-3034-4600-8715-254ba0f84805,SRR13992180,SRR30896504,CP164693-CP164696
OXEC-39,29bcca51-bee9-47b3-92c6-595d05f8f14c,SRR25738254,SRR30896113,CP163687-CP163691
OXEC-390,7c8d72a5-cfe9-4ba9-a73d-225a3cbb2f13,SRR13991794,SRR30896503,NA
OXEC-391,65d0e748-ed0a-4b31-86bd-ed2c397a0003,SRR13992923,SRR30896501,CP164688-CP164692
OXEC-392,121f3bfc-75d7-4e0a-8671-e89c3798f154,SRR13993032,SRR30896500,NA
OXEC-393,c73f8433-b883-4d56-bf9c-fda0a20e3c90,SRR13991706,SRR30896499,CP164684-CP164687
OXEC-394,f1674966-35fa-4552-b8be-8fd602e27118,SRR13992335,SRR30896498,CP164675-CP164683
OXEC-395,a2997377-bd79-44ee-a56c-7cb92f5f6f26,SRR13992117,SRR30896497,NA
OXEC-396,1e805e34-e750-4b92-b475-7aee0df3eae5,SRR13993487,SRR30896496,CP164671-CP164674
OXEC-397,eb574163-c800-48ae-9614-2b754e8aa89d,SRR13992468,SRR30896495,NA
OXEC-398,53a12544-fb0d-4056-9d7c-4017362a9d8b,SRR13992765,SRR30896494,CP164666-CP164670
OXEC-399,b4161ac4-a2fa-49ae-b827-e0c4c1c9e853,SRR13992848,SRR30896493,CP164664-CP164665
OXEC-4,dc29b3b4-1986-4978-9a44-94887adec077,SRR25738190,SRR30896362,NA
OXEC-40,0c4950a1-1df1-4fda-9729-7e68f811176f,SRR25740497,SRR30896502,CP163682-CP163686
OXEC-400,c9db781c-bb70-4fb3-b0d9-03fdb926c17f,SRR25738200,SRR30896492,CP164658-CP164663
OXEC-401,014b68b8-c04b-41a7-92ea-5e323ef8cdf0,SRR13992143,SRR30896489,CP164653-CP164657
OXEC-402,0f7cb97d-6ee7-46bd-add5-446a97f6b422,SRR13993044,SRR30896488,CP164649-CP164652
OXEC-403,33d07f00-c220-4119-b168-2a8a78dc7859,SRR13992508,SRR30896487,CP164641-CP164648
OXEC-404,22a88629-a247-438f-8429-5abab374b68c,SRR11046289,SRR30896486,CP164635-CP164640
OXEC-405,dee219b8-85ba-456e-a9c9-6c483be6b3c5,SRR13991603,SRR30896485,NA
OXEC-406,6605cdd0-4ea7-4643-b2e0-e6d1be07b2d9,SRR11046282,SRR30896484,CP164633-CP164634
OXEC-407,d9e6b52f-631b-4cf6-8d6a-22e5039d2236,SRR13991687,SRR30896483,CP165473-CP165475
OXEC-408,723eae6c-cf46-4fdd-bfdf-2438fc67f1d6,SRR13992653,SRR30896482,CP164631-CP164632
OXEC-409,b63d6444-1af7-49fd-9c74-832eedf8d670,SRR13993557,SRR30896481,CP165468-CP165472
OXEC-41,302015b9-e2b3-4c88-adc2-f89878c471a8,SRR25738258,SRR30896490,CP163675-CP163681
OXEC-410,6f822a0e-ab23-4293-b461-b8779d7eecd4,SRR13991558,SRR30896480,CP164622-CP164630
OXEC-411,d4bec54c-ee1f-4ee7-8be2-ec1a1ca1154a,SRR11046275,SRR30896478,CP164618-CP164621
OXEC-412,42013221-1a92-42db-b5b9-9c06a7fc9551,SRR13993272,SRR30896477,CP164614-CP164617
OXEC-413,df3f5a3f-f2a2-4bdf-a343-5fce2a4d4b12,SRR13991602,SRR30896476,CP164611-CP164613
OXEC-414,2a06c84b-7b37-415f-9714-8d7e17b00cff,SRR13993649,SRR30896475,CP164608-CP164610
OXEC-415,7a95d358-de08-4632-8e4c-27e94e58b1dd,SRR13992432,SRR30896474,CP164605-CP164607
OXEC-416,f8dd3f44-8422-4612-8859-1a4434998166,SRR13992023,SRR30896473,CP164600-CP164604
OXEC-417,4aac4765-2480-43d2-bd85-8f2cf4b6aab5,SRR13993010,SRR30896472,CP164597-CP164599
OXEC-418,aaacb90b-9d85-44e5-9273-b6b9e2c2d8c6,SRR13991908,SRR30896471,NA
OXEC-419,78487a00-84c7-4f4d-bb4d-d07b7caa07e9,SRR13992152,SRR30896470,CP164592-CP164596
OXEC-42,c9ed3c57-9f06-4f39-a28b-b7beee031279,SRR25738262,SRR30896479,CP163670-CP163674
OXEC-420,2c3735c9-10ec-44b3-94e5-93eec67c06bb,SRR13993646,SRR30896469,CP164552-CP164591
OXEC-421,23ada49d-5eb3-40b0-a860-f9becaa9b01a,SRR25740754,SRR30896467,CP165465-CP165467
OXEC-422,b4e23977-fcd5-40d5-87b1-530e797e44d8,SRR13992738,SRR30896466,CP164548-CP164551
OXEC-423,97c3c169-1adf-40f4-9e17-aec86420692f,SRR13993143,SRR30896345,CP164539-CP164547
OXEC-424,e0175aa0-d085-4a5c-94fd-7ff076f863a4,SRR13991600,SRR30896344,CP164536-CP164538
OXEC-425,7ca56ec6-5206-4f19-98fd-a1d0c445dec9,SRR13992353,SRR30896343,CP164531-CP164535
OXEC-426,ea24fb60-3113-4da3-93aa-52715f816143,SRR13993073,SRR30896342,CP164526-CP164530
OXEC-427,7be7096d-79c7-471e-ba24-173b201f4165,SRR13992422,SRR30896341,CP164524-CP164525
OXEC-428,d50e70b3-4f1d-4e1e-b203-bf4fa12d3edb,SRR13992500,SRR30896340,CP164521-CP164523
OXEC-429,5550c899-4b25-482d-b81e-f6d952edd162,SRR13993579,SRR30896339,CP164517-CP164520
OXEC-43,cefcd5c0-66e6-4080-a2f5-78067599a1e1,SRR25738275,SRR30896468,NA
OXEC-430,77859495-7034-4953-a967-77f24e68cd6b,SRR13993396,SRR30896338,CP164515-CP164516
OXEC-431,874482f6-2de5-46ea-85c1-0976e0e55e17,SRR13992409,SRR30896336,NA
OXEC-432,681b8090-ca38-4dc7-85dd-3df00ae47884,SRR13991669,SRR30896335,NA
OXEC-433,16873c0d-5d78-4584-972f-95d635d15200,SRR13992824,SRR30896334,CP164506-CP164514
OXEC-434,f8b924f1-e8de-4d4b-80f3-08503f5715c3,SRR13992025,SRR30896333,CP164500-CP164505
OXEC-435,034e9bd8-d506-41a9-915e-0dc27757ede4,SRR13992071,SRR30896332,CP164495-CP164499
OXEC-436,7ee7e1ff-c7a7-4379-9b28-9b144dbab81c,SRR13991718,SRR30896331,CP164490-CP164494
OXEC-437,8cad0e7f-729a-47cd-9440-f3ee9049f6b6,SRR13993165,SRR30896330,NA
OXEC-438,f7d650de-ab42-4776-ba97-f1d833a0b256,SRR13992089,SRR30896329,CP164487-CP164489
OXEC-439,e8891361-988c-4485-b1cc-7d3bf3e6ce6d,SRR13993139,SRR30896328,CP164482-CP164486
OXEC-44,76a1f80d-5f2d-4627-9c6b-378c1300a54b,SRR25738083,SRR30896337,CP163666-CP163669
OXEC-440,27629192-2c4c-4969-9ca5-db30914d03ec,SRR13993661,SRR30896327,CP164479-CP164481
OXEC-441,731c92a1-efeb-4187-8e8e-04886bc2b682,SRR13992583,SRR30896325,NA
OXEC-442,f59f6b35-01e2-4d12-9cfe-09be0e870703,SRR13992330,SRR30896324,CP165451
OXEC-443,37f7568d-0eec-4081-8c96-7a9d42710390,SRR13992304,SRR30896323,CP165445-CP165450
OXEC-444,1d03a754-7f3a-4329-a30d-e2c131c172d1,SRR13993501,SRR30896322,CP165443-CP165444
OXEC-445,4333866f-79ec-4645-95c1-ad6ae60bb896,SRR13993260,SRR30896321,CP165435-CP165442
OXEC-446,bca59aaa-7dbd-4ca0-9cf7-0371ca906e4c,SRR13992700,SRR30896320,CP165431-CP165434
OXEC-447,3a9b4d9d-13ff-4c02-aa84-b4127f0947fe,SRR13991614,SRR30896319,CP165429-CP165430
OXEC-448,df813e9b-769f-4a31-8ff7-df9ba8a38401,SRR13992260,SRR30896318,CP165428
OXEC-449,bc116324-cdc4-44d5-82d8-e8f3107c84b7,SRR13993454,SRR30896317,CP165422-CP165427
OXEC-45,846d8e4c-56ed-4350-909f-40b88d683b0f,SRR25740894,SRR30896326,CP163662-CP163665
OXEC-450,fe7f4ff1-db01-4c78-b0b2-c2d7fa4a10f2,SRR13991896,SRR30896316,NA
OXEC-451,de61a612-cdf1-4f8d-b02b-97fc62638e10,SRR13992270,SRR30896314,CP165414-CP165421
OXEC-452,a905ab9a-6715-45d6-b82c-b29269f1e1e2,SRR13992013,SRR30896313,NA
OXEC-453,9093c634-ed0c-4e07-82f0-ae908369fbbf,SRR13993022,SRR30896312,NA
OXEC-454,18f603c4-62d1-460e-92c9-f7c5dc2da173,SRR13993871,SRR30896311,CP165408-CP165413
OXEC-455,82e9d2da-666c-4131-99b5-9e082bba872f,SRR13992222,SRR30896310,CP165402-CP165407
OXEC-456,1083aa05-2f07-4c22-9184-9c8cdac5e321,SRR25740752,SRR30896309,CP165397-CP165401
OXEC-457,d8630117-551d-4368-a5b0-932eb30afe51,SRR13991695,SRR30896308,CP165396
OXEC-458,4b4145a9-becd-4218-9381-c8fb6ddce176,SRR13991860,SRR30896307,NA
OXEC-459,2da76a28-cf9e-4d9d-98fe-b16c2e9314f2,SRR13992670,SRR30896306,CP165394-CP165395
OXEC-46,e9210537-efd8-4ba8-8449-c6947076b834,SRR25738099,SRR30896315,CP163658-CP163661
OXEC-460,4335d3e5-b312-4f33-9ddb-c9021a80da3a,SRR13991989,SRR30896065,CP165389-CP165393
OXEC-461,912f87a5-a0d5-4558-811e-d184cc369e07,SRR13993017,SRR30896063,CP165382-CP165388
OXEC-462,d11ab108-deaf-45c9-b45d-dc7ae62ed9b3,SRR13991748,SRR30896062,CP165379-CP165381
OXEC-463,883d2bda-9e61-4b43-a274-9f93cd444662,SRR13993264,SRR30896061,CP165374-CP165378
OXEC-464,3ac597cd-1b67-4f2f-bce3-9e9a5fd1e706,SRR13992696,SRR30896060,CP165370-CP165373
OXEC-465,8bc9d3fd-0229-4cb2-9da2-6dec2b33e251,SRR13992369,SRR30896059,NA
OXEC-466,fd6b1bba-1184-44ce-8f6b-06fd2c549f5c,SRR13991904,SRR30896058,CP165364-CP165369
OXEC-467,86bee531-6406-447f-8079-0e624a0e1438,SRR13992202,SRR30896057,NA
OXEC-468,d5b8e5f8-5a36-41ac-99a9-651a62c63b4f,SRR13992495,SRR30896056,CP165360-CP165363
OXEC-469,c10fbfe3-f9dd-44c0-8ed4-cd016be57770,SRR13993509,SRR30896055,CP165357-CP165359
OXEC-47,0d4789a2-71a6-4db7-b0c0-bb15a9ade85d,SRR25738279,SRR30896064,CP163655-CP163657
OXEC-470,6e9845e7-f04c-48cb-b94a-b7b36629fec2,SRR25740604,SRR30896054,CP165354-CP165356
OXEC-471,43bda353-bb2a-4da3-ac9c-5524f5bec7d3,SRR13991982,SRR30896052,CP165349-CP165353
OXEC-472,52bd0849-6ae7-4d6e-beb1-6fbe59575131,SRR13992769,SRR30896051,CP165340-CP165348
OXEC-473,b73243ea-ce49-4864-aeb7-0ba9176c74f1,SRR13993547,SRR30896598,NA
OXEC-474,76a04114-730e-45ae-b011-aeeec92eb090,SRR13993410,SRR30896597,CP165335-CP165339
OXEC-475,01188b97-1bf2-4496-b1cc-c555c46d983e,SRR13992144,SRR30896596,CP165333-CP165334
OXEC-476,32a875dc-9871-4220-869f-01f79b21cfd7,SRR13992526,SRR30896595,CP165325-CP165332
OXEC-477,87108ce6-8807-4a3a-b45c-9ea4914770ab,SRR13992201,SRR30896594,CP165319-CP165324
OXEC-478,bf159b49-baf0-4c27-b4f7-68c82a6feb13,SRR13993522,SRR30896593,CP165315-CP165318
OXEC-479,a374fd1d-684c-4e14-a943-a6b07eaea008,SRR13993687,SRR30896592,CP165308-CP165314
OXEC-48,db47718d-e660-494b-9d77-6f0d0f3fc82f,SRR25738296,SRR30896053,NA
OXEC-480,51135b3f-cf63-49c3-bf31-e2165a317233,SRR13992812,SRR30896591,CP165302-CP165307
OXEC-481,44ec438d-302c-443f-a0e8-67cb3f1be363,SRR13993184,SRR30896589,CP165297-CP165301
OXEC-482,96c74f9c-0f24-4e4d-9a40-8c7be142fa21,SRR13993153,SRR30896588,CP165292-CP165296
OXEC-483,abe419d7-db3a-4ed4-a599-8ce5dd08334c,SRR13991893,SRR30896587,CP165290-CP165291
OXEC-484,d5f43352-b925-4aef-b511-ed31c6151dfb,SRR13991735,SRR30896586,CP165288-CP165289
OXEC-485,d2af31d8-ade2-4d1e-8739-a6b3644029fd,SRR13992226,SRR30896585,CP165286-CP165287
OXEC-486,3aee63d6-f29d-4c7e-994e-aa00b124627a,SRR13992689,SRR30896584,CP165283-CP165285
OXEC-487,14bf1a04-5376-4323-a26b-982e0a2a4a68,SRR13993882,SRR30896583,CP165282
OXEC-488,685409b3-c240-4379-80c7-2957fb4ca4bf,SRR13992880,SRR30896582,CP165272-CP165281
OXEC-489,cdb6f089-ef88-42c1-969a-95c19e9862c8,SRR13991850,SRR30896581,CP165265-CP165271
OXEC-49,c3f5775e-8550-42a4-bd82-29df4069ad43,SRR25738532,SRR30896590,CP163651-CP163654
OXEC-490,64a59454-3bcb-45a8-9999-4d72b9cecb53,SRR13992933,SRR30896580,CP165263-CP165264
OXEC-491,1bc952b3-000e-4555-94be-bd5a52d86f77,SRR13993571,SRR30896578,CP165261-CP165262
OXEC-492,3503a750-54f1-48ce-bc9b-d6b3deba5d7b,SRR25738236,SRR30896577,CP165255-CP165260
OXEC-493,a5348159-9738-4e9e-95f2-d1de5b53919d,SRR13992035,SRR30896576,CP165243-CP165254
OXEC-494,21282296-078d-4afd-9784-3e1b4b94ee5c,SRR13993433,SRR30896575,CP165240-CP165242
OXEC-495,05c6d3c5-a2e3-4d57-916a-896707c0e7a3,SRR13993201,SRR30896574,CP165239
OXEC-496,b8ad8e7b-f7d6-4149-9914-33f3b7661d51,SRR13992714,SRR30896305,NA
OXEC-497,90992c9a-7fb9-42b6-87cb-f24e0a428a37,SRR13993021,SRR30896304,CP165234-CP165238
OXEC-498,878951a6-6764-4ec0-b7ef-e60263849626,SRR13993271,SRR30896303,CP165231-CP165233
OXEC-499,e4c71342-5076-4df0-b155-5b066e135169,SRR13993226,SRR30896302,CP165227-CP165230
OXEC-5,185e8999-6e7d-4222-8105-b993fe204dfe,SRR25738445,SRR30896491,NA
OXEC-50,5884f4d7-3dd1-42c9-9b18-8fca7b98df5a,SRR25738475,SRR30896579,NA
OXEC-500,5629a9ea-a624-47d7-906d-60327bb8a29d,SRR13993569,SRR30896301,CP165225-CP165226
OXEC-501,2d024f58-7218-4268-9ff5-320c7be62aaf,SRR13991561,SRR30896298,CP165223-CP165224
OXEC-502,c0e6b2a5-0408-4555-a950-7ca796240224,SRR13993510,SRR30896297,CP165219-CP165222
OXEC-503,210a940d-7002-4075-95eb-676cc83a2fc2,SRR13993438,SRR30896296,CP165215-CP165218
OXEC-504,c2ac38ca-6ff7-43fe-8261-6fffc42813a2,SRR13993504,SRR30896295,CP165209-CP165214
OXEC-505,5a0dc3aa-7d28-4851-ba06-94e423cf1a3e,SRR13993480,SRR30896294,CP165206-CP165208
OXEC-506,8f4281f8-c7dc-4e0b-a009-40ea722598b3,SRR13993083,SRR30896293,CP165203-CP165205
OXEC-507,b7be7c89-0e25-4818-801b-74f5513e80ec,SRR13992717,SRR30896292,CP165200-CP165202
OXEC-508,8a7ac2e3-3e7c-423a-9918-7cfc97547b5e,SRR13993187,SRR30896291,CP165462-CP165464
OXEC-509,cf854b97-65e6-48e0-9f3c-145b3b9515eb,SRR13991838,SRR30896290,NA
OXEC-51,6389ff69-b454-4160-9290-9c7817a814c7,SRR25738115,SRR30896299,NA
OXEC-510,2ead7237-ce0f-4c09-826b-cbd1d0a60bb0,SRR13992661,SRR30896289,CP165190-CP165199
OXEC-511,b7690621-58b0-4e89-a6a5-291624de6bbc,SRR13992718,SRR30896287,CP165188-CP165189
OXEC-512,bae2ea03-9b05-4aa1-a5c5-f1f83009e56c,SRR13993459,SRR30896286,CP165183-CP165187
OXEC-513,c95e5a5a-14a8-4f41-9ac1-6b460bb0c510,SRR13993365,SRR30896285,CP165460-CP165461
OXEC-514,43557ed2-ba90-497b-be71-92d277b9ced4,SRR13993257,SRR30896284,CP165457-CP165459
OXEC-515,b119957c-9133-4121-9384-99b6d8b2af1b,SRR13992947,SRR30896283,CP165452-CP165456
OXEC-516,22ec1f35-5e14-4683-8355-6bf718f952b2,SRR13993734,SRR30896282,CP165590-CP165595
OXEC-517,494a6ed7-4547-489b-826b-46c1b5baefe4,SRR13991875,SRR30896281,CP163645-CP163647
OXEC-518,ba492b80-e8f6-440c-8159-020988ac9869,SRR13992709,SRR30896280,CP163639-CP163644
OXEC-519,38ba48de-56cb-47e4-a60a-c691d8afd247,SRR13992294,SRR30896279,CP163636-CP163638
OXEC-52,de4bafcb-24eb-447b-9632-868d24a6d732,SRR25738119,SRR30896288,CP163648-CP163650
OXEC-520,e51a4fa4-b5c1-4212-82aa-f95df8d148e4,SRR13992604,SRR30896278,CP163634-CP163635
OXEC-521,045cf886-9e90-49e2-9575-f1ad18c1e1fd,SRR13992061,SRR30896276,CP163632-CP163633
OXEC-522,9d6ff396-d4f4-40fb-9608-20a54863f753,SRR13993693,SRR30896275,CP163627-CP163631
OXEC-523,170a7599-23a8-4ba6-9563-61b79fc30c4e,SRR13992809,SRR30896274,CP165587-CP165589
OXEC-524,cf5bc0fe-7858-4672-b4c5-c49e2f6ebb29,SRR13992635,SRR30896273,CP163625-CP163626
OXEC-525,3da66e11-7893-4148-afad-f72b3340397d,SRR13992560,SRR30896272,CP163622-CP163624
OXEC-526,2e70232a-3bda-450d-8423-86f8f4c9e7ae,SRR13992666,SRR30896271,CP163619-CP163621
OXEC-527,33b99002-bea2-40fe-8491-ad466a1cf512,SRR13992511,SRR30896270,CP163617-CP163618
OXEC-528,b4157ebc-032a-4860-b81b-8cd68ab983cf,SRR13992849,SRR30896269,CP163613-CP163616
OXEC-529,99438935-7bd8-407f-8551-cb228f3007d1,SRR13993066,SRR30896268,CP163610-CP163612
OXEC-53,fcc19ea3-1a55-4886-b5b7-c84fe1f43f9a,SRR25738334,SRR30896277,CP164189-CP164194
OXEC-530,4fe3b2df-0437-43f1-9446-0244b1a62756,SRR13993801,SRR30896267,CP163605-CP163609
OXEC-531,befaa536-3d11-4e29-a644-c3a714d1a341,SRR13993394,SRR30896265,CP163603-CP163604
OXEC-532,4e311c12-368f-4f0d-a1ba-8eb4423db6dd,SRR13993850,SRR30896264,CP163600-CP163602
OXEC-533,1db7a130-caae-4bdb-a835-417130f7bdf3,SRR13993496,SRR30896263,CP163597-CP163599
OXEC-534,4687e9da-e7de-472d-882c-10e5c1a0df37,SRR13993164,SRR30896262,CP163594-CP163596
OXEC-535,dcff1b63-7e48-493e-88c6-d8c5b69fe3e0,SRR13992366,SRR30896261,CP163586-CP163593
OXEC-536,4b1f394b-3f5a-4c97-8fa9-d31272f919b9,SRR13993009,SRR30896260,CP163580-CP163585
OXEC-537,02cb1371-8085-46c0-af8d-075dacbdd5a9,SRR13992075,SRR30896259,CP163574-CP163579
OXEC-538,3c0108d3-3203-4d59-8936-2a2c3162455c,SRR13992679,SRR30896258,CP163571-CP163573
OXEC-539,48847f46-090a-4cf2-af9f-d6ba161c75b3,SRR13991877,SRR30896257,CP163569-CP163570
OXEC-54,081f6f17-bbe9-4088-8b1f-6e5560cd1a13,SRR25738131,SRR30896266,CP164187-CP164188
OXEC-540,7bc90267-6b4a-4ecc-9bdc-2fc82cc69692,SRR13991805,SRR30896256,CP163564-CP163568
